X4EVERDROP,X1MTHEFF,X1SCIEFF,X1TXMTSCOR,S1M8GRADE,S1S8GRADE,X1PAREDU,X1PAREDEXPCT,X1SCHOOLBEL,X1SCHOOLCLI,X1POVERTY,X1CONTROL,S1EDUEXPECT,S1SUREHSGRAD,X1FAMINCOME,X2SEX,S1FYAA,S1FYBA,S1FYLICENSE,S1FYAPPR,S1FYMILITARY,S1FYJOB,S1FYFAMILY,S1FYTRAVEL,S1FYVOLUN,S1FYNOTSURE,S1PAYOFF,S1GETINTOCLG,S1AFFORD,S1WORKING,X1PAR_SURVEY_MISSING,X1_DUAL_PARENT,MATH_NO_CLASS,SCI_NO_CLASS,X1RACE_1,X1RACE_2,X1RACE_3,X1RACE_4,X1RACE_5,X1RACE_6,X1RACE_7,X1RACE_8,X1LOCALE_1,X1LOCALE_2,X1LOCALE_3,X1LOCALE_4,X1REGION_1,X1REGION_2,X1REGION_3,X1REGION_4
1.0,0.1,-0.9,37.7725,1,4,3,0,0.84,-0.3590853994490358,1,1.0,8,1,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,2,3,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0.0,0.16,-0.89,66.894,1,1,7,10,0.21,-1.11,0,1.0,7,1,4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,4,3,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,0.07527073240239386,0.06604246807201108,47.5236,1,1,4,6,1.09,-0.3590853994490358,0,2.0,11,1,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3,1,3,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0.0,-0.17,-0.05,70.8013,2,1,5,8,-1.28,0.08,0,1.0,6,1,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,3,3,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1.0,-1.68,-2.05,44.3582,3,3,2,0,-0.98,0.17,0,1.0,4,2,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,3,1,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0.0,0.27,0.06604246807201108,56.6409,2,2,3,6,0.16,0.35,0,2.0,8,1,5,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,3,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0.0,0.1,0.06604246807201108,62.7847,1,1,3,8,-0.04,-0.3590853994490358,0,1.0,8,1,5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
0.0,1.62,-0.59,65.5911,1,1,4,10,-0.62,-0.3590853994490358,0,1.0,8,1,6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,0.1,0.06604246807201108,30.1157,2,5,2,0,0.9,-0.44,0,1.0,10,1,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2,3,2,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0.0,0.07527073240239386,0.06604246807201108,33.5529,4,4,2,1,-0.69,-0.99,0,1.0,3,2,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,3,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0.0,-0.56,0.25,46.9388,2,2,4,0,-0.39,0.02,0,1.0,6,2,6,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3,2,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0.0,1.62,-0.59,67.1436,1,1,7,10,1.34,0.19,0,2.0,10,1,13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1.0,-0.61,-0.17,45.1566,2,2,3,4,0.68,1.65,0,2.0,4,1,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0.0,0.1,-0.48,47.4921,3,2,3,0,-0.39,0.31,0,1.0,11,1,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0.0,1.62,1.83,62.5559,1,1,5,8,0.68,1.33,0,2.0,8,1,6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,2,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0.0,1.62,-0.16,31.7241,3,3,2,0,1.23,1.0,1,1.0,2,2,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0.0,0.1,0.25,56.8163,1,2,2,0,-0.39,-0.3590853994490358,1,1.0,6,1,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0.0,-0.29,-0.91,54.9576,2,1,4,6,0.85,1.25,0,2.0,11,1,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.0,1.34,1.83,55.0993,2,3,1,10,-1.06,-0.83,0,1.0,10,1,7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4,4,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0.0,0.1,0.25,64.4295,2,3,3,0,-0.88,-1.64,0,1.0,11,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.0,0.1,0.25,48.5401,1,3,2,3,-0.39,-0.3590853994490358,1,1.0,10,1,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0.0,-1.41,0.69,49.8739,3,2,3,0,0.3,0.24,0,1.0,6,1,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,3,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0.0,0.94,0.25,50.3536,1,2,2,6,0.52,-1.94,0,1.0,11,1,4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,4,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0.0,-1.14,-0.89,45.847,3,2,2,10,-0.37,-0.7,0,1.0,6,1,3,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,4,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
