X1TXMTSCOR,X1MTHEFF,X1SCIEFF,X1SCHOOLBEL,X1SCHOOLCLI,S1M8GRADE,S1S8GRADE,X1PAREDU,X1PAREDEXPCT,S1EDUEXPECT,S1SUREHSGRAD,S1PAYOFF,S1GETINTOCLG,S1AFFORD,S1WORKING,X1PAR_SURVEY_MISSING,X1_DUAL_PARENT,X1POVERTY,MATH_NO_CLASS,SCI_NO_CLASS,S1FYFAMILY,S1FYMILITARY,X1CONTROL,X4EVERDROP
50.3536,0.94,0.25,0.52,-1.94,1,2,2,6,8,1,3,3,4,3,0,1,0,0,0,0.0,0.0,1.0,0.0
45.847,-1.14,-0.89,-0.37,-0.7,3,2,2,10,6,1,3,4,2,3,0,1,0,0,0,1.0,0.0,1.0,0.0
65.7365,0.1,0.25,-0.39,-0.3,1,1,1,6,8,1,3,3,3,3,0,0,1,0,0,0.0,0.0,1.0,0.0
50.2947,0.95,-0.05,-0.39,-0.85,1,2,2,7,10,1,3,3,3,3,1,1,0,0,0,0.0,0.0,1.0,0.0
43.2763,-0.17,-0.48,-0.39,-0.7,3,3,2,4,2,2,3,3,3,2,0,1,1,0,0,0.0,0.0,1.0,0.0
49.3308,-0.75,-1.33,0.19,0.56,2,3,2,2,10,1,3,4,2,4,0,0,0,0,0,0.0,0.0,1.0,1.0
49.573,-0.17,0.06604246807201108,1.1,0.56,2,3,4,6,8,1,4,4,4,4,0,1,0,0,1,0.0,0.0,1.0,0.0
53.9985,0.55,0.06604246807201108,0.1,-0.3590853994490358,3,2,2,4,6,2,4,3,4,4,0,1,0,0,1,0.0,0.0,1.0,0.0
73.529,1.34,1.1,0.21,-2.4,1,1,7,6,10,1,4,4,3,4,0,1,0,0,0,0.0,0.0,1.0,0.0
38.6225,-0.58,-2.07,0.18,-0.3590853994490358,3,2,4,6,4,1,2,4,4,3,0,0,0,0,0,0.0,0.0,1.0,0.0
67.0552,0.1,-0.05,0.98,-2.12,1,1,3,6,8,1,3,3,3,3,0,1,0,0,0,1.0,0.0,1.0,0.0
45.2292,-0.58,0.25,0.16,-0.3590853994490358,3,3,3,6,4,1,3,3,3,3,1,1,1,0,0,0.0,1.0,1.0,0.0
63.5164,-0.17,-0.05,-0.04,-0.82,1,2,3,9,8,1,4,4,4,4,1,1,0,0,0,0.0,0.0,1.0,0.0
55.8121,1.34,-0.05,-0.39,-1.51,2,2,3,8,6,1,4,4,2,3,0,0,1,0,0,0.0,0.0,1.0,0.0
50.1433,0.22,1.42,1.1,-0.7,2,2,4,6,8,1,4,3,2,4,0,1,1,0,0,0.0,0.0,1.0,0.0
27.9219,0.07527073240239386,0.06604246807201108,-0.73,-0.34,4,5,2,6,2,1,3,3,3,2,1,1,0,1,1,0.0,0.0,1.0,1.0
49.5211,0.1,0.06604246807201108,-0.04,-0.3590853994490358,1,1,4,6,10,1,4,4,4,3,0,1,0,0,1,0.0,0.0,1.0,0.0
63.2917,-0.56,-0.48,-0.39,-0.61,2,1,7,6,6,1,2,3,3,3,0,1,0,0,0,0.0,0.0,1.0,1.0
67.7484,0.94,0.06604246807201108,0.77,-0.3590853994490358,2,1,5,8,10,1,1,3,2,4,0,1,0,0,1,0.0,0.0,1.0,0.0
47.1642,0.1,0.25,-0.04,0.69,2,2,2,6,9,1,4,4,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
53.6645,1.34,1.1,1.59,-0.52,2,3,4,8,8,1,4,4,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
52.6311,0.1,1.83,-0.39,-1.98,1,2,5,8,10,1,4,3,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
42.3864,-2.48,-1.2,-0.95,0.25,4,1,3,10,10,1,2,4,4,4,0,1,0,0,0,0.0,0.0,1.0,0.0
31.5936,0.1,0.06604246807201108,-0.39,-0.93,1,3,3,5,5,2,2,3,3,3,1,1,1,0,1,0.0,0.0,1.0,1.0
63.0972,0.55,0.25,0.21,1.74,2,2,5,8,6,1,4,4,3,3,0,1,0,0,0,0.0,0.0,2.0,0.0
57.5439,0.1,0.25,-0.04,-0.3590853994490358,1,2,2,8,10,1,3,3,3,3,0,0,1,0,0,0.0,0.0,1.0,0.0
38.1072,-0.61,0.25,-0.39,-1.27,4,3,4,6,8,2,3,3,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
61.6932,1.62,-0.89,0.7,-0.3590853994490358,1,1,5,7,6,1,4,4,4,4,1,1,0,0,0,0.0,0.0,1.0,0.0
30.5673,-1.14,0.06604246807201108,-1.2,-0.3590853994490358,1,1,2,2,10,2,2,2,2,2,0,1,0,0,1,0.0,0.0,1.0,1.0
77.4288,1.21,1.41,0.98,-0.66,1,1,5,10,10,1,4,3,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
54.4463,-0.17,0.25,-0.17,-0.3590853994490358,3,3,2,6,6,1,3,3,3,3,0,0,0,0,0,0.0,0.0,1.0,0.0
